municipality,valid_rating_count,evidence_strength_counts,claim_relevance_counts
North Reading,9,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 5, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 3, ""source_navigation_claim"": 2}"
North Syracuse,6,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 3, ""weak"": 1}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
North Vernon,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
North Whitehall,7,"{""moderate"": 1, ""not_supported"": 2, ""weak"": 4}","{""context_only"": 5, ""documentary_mechanism_claim"": 2}"
North Yarmouth,8,"{""not_supported"": 3, ""strong"": 2, ""weak"": 3}","{""context_only"": 4, ""direct_text_claim"": 3, ""quantitative_compensation_claim"": 1}"
Northborough,16,"{""moderate"": 4, ""not_supported"": 1, ""strong"": 5, ""weak"": 6}","{""context_only"": 6, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 4}"
Northfield,64,"{""moderate"": 17, ""not_supported"": 7, ""strong"": 26, ""weak"": 14}","{""context_only"": 11, ""direct_text_claim"": 10, ""documentary_mechanism_claim"": 11, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 27}"
Northglenn,3,"{""moderate"": 1, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Northville,5,"{""moderate"": 1, ""strong"": 2, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 1}"
Northwood,3,"{""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Norwell,1,"{""weak"": 1}","{""context_only"": 1}"
Norwich,50,"{""moderate"": 11, ""not_supported"": 3, ""strong"": 13, ""weak"": 23}","{""context_only"": 18, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 16, ""source_navigation_claim"": 1}"
Novato,15,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 4, ""weak"": 6}","{""context_only"": 6, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Nyack,18,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 5, ""weak"": 9}","{""context_only"": 3, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 8}"
Oak Grove,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Oakland,6,"{""moderate"": 2, ""strong"": 1, ""weak"": 3}","{""context_only"": 3, ""quantitative_compensation_claim"": 3}"
Oakley,6,"{""moderate"": 3, ""strong"": 2, ""weak"": 1}","{""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
Oakmont,3,"{""not_supported"": 1, ""weak"": 2}","{""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
Oakridge,28,"{""moderate"": 9, ""strong"": 10, ""weak"": 9}","{""context_only"": 2, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 17}"
Oakwood,12,"{""moderate"": 7, ""strong"": 4, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 4, ""quantitative_compensation_claim"": 4}"
Ocean Shores,30,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 9, ""weak"": 15}","{""context_only"": 14, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 11}"
Ocean View,16,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 4, ""weak"": 6}","{""context_only"": 7, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Oceanport,1,"{""strong"": 1}","{""direct_text_claim"": 1}"
Oconomowoc,35,"{""moderate"": 6, ""not_supported"": 5, ""strong"": 9, ""weak"": 15}","{""context_only"": 12, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 12}"
Oconto,25,"{""moderate"": 6, ""not_supported"": 3, ""strong"": 2, ""weak"": 14}","{""context_only"": 12, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4, ""source_navigation_claim"": 1}"
Oconto Falls,6,"{""not_supported"": 1, ""weak"": 5}","{""context_only"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Oelwein,19,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 9, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 10}"
Ogallala,11,"{""moderate"": 1, ""strong"": 3, ""weak"": 7}","{""context_only"": 7, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 3}"
Ogdensburg,13,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 1, ""weak"": 6}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 6}"
Okemah,1,"{""weak"": 1}","{""source_navigation_claim"": 1}"
Okmulgee,2,"{""not_supported"": 1, ""weak"": 1}","{""direct_text_claim"": 1, ""not_claim_ready"": 1}"
Olmsted,22,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 4, ""weak"": 14}","{""context_only"": 10, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Omak,20,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 5, ""weak"": 9}","{""context_only"": 6, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 11}"
Omro,2,"{""weak"": 2}","{""context_only"": 2}"
Oneida,13,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 1, ""weak"": 8}","{""context_only"": 4, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Onondaga,30,"{""moderate"": 5, ""not_supported"": 6, ""strong"": 8, ""weak"": 11}","{""context_only"": 10, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 11}"
Oradell,4,"{""moderate"": 3, ""weak"": 1}","{""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Orange,17,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 4, ""weak"": 7}","{""context_only"": 7, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 6}"
Orange Park,11,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 8}","{""context_only"": 5, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2, ""source_navigation_claim"": 2}"
Orangeburg,10,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 2, ""weak"": 6}","{""context_only"": 5, ""quantitative_compensation_claim"": 5}"
Orinda,10,"{""moderate"": 1, ""not_supported"": 1, ""weak"": 8}","{""context_only"": 5, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
Orion charter,22,"{""moderate"": 3, ""not_supported"": 4, ""strong"": 2, ""weak"": 13}","{""context_only"": 11, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Orland,29,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 13, ""weak"": 13}","{""context_only"": 8, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 14}"
Oro Valley,11,"{""moderate"": 2, ""strong"": 5, ""weak"": 4}","{""context_only"": 2, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 6}"
Orono,9,"{""moderate"": 1, ""not_supported"": 3, ""strong"": 1, ""weak"": 4}","{""context_only"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Orrington,3,"{""weak"": 3}","{""context_only"": 2, ""not_claim_ready"": 1}"
Osage Beach,14,"{""moderate"": 4, ""strong"": 4, ""weak"": 6}","{""context_only"": 7, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
Osage City,7,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 3, ""weak"": 1}","{""context_only"": 3, ""quantitative_compensation_claim"": 4}"
Osceola,27,"{""moderate"": 5, ""strong"": 11, ""weak"": 11}","{""context_only"": 2, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 16}"
Othello,2,"{""not_supported"": 2}","{""context_only"": 1, ""not_claim_ready"": 1}"
Ottawa,11,"{""moderate"": 3, ""strong"": 3, ""weak"": 5}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Overland,41,"{""moderate"": 5, ""not_supported"": 6, ""strong"": 14, ""weak"": 16}","{""context_only"": 12, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 17, ""source_navigation_claim"": 3}"
Oxford,12,"{""moderate"": 1, ""not_supported"": 4, ""weak"": 7}","{""context_only"": 5, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 2}"
Oxnard,34,"{""moderate"": 8, ""not_supported"": 1, ""strong"": 7, ""weak"": 18}","{""context_only"": 7, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 7, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 12}"
Ozark,4,"{""moderate"": 1, ""strong"": 2, ""weak"": 1}","{""quantitative_compensation_claim"": 4}"
Pacific,50,"{""moderate"": 10, ""not_supported"": 2, ""strong"": 18, ""weak"": 20}","{""context_only"": 15, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 24}"
Page,12,"{""moderate"": 4, ""not_supported"": 1, ""strong"": 3, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Pahokee,1,"{""moderate"": 1}","{""context_only"": 1}"
Painesville,7,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 4}","{""context_only"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Palestine,4,"{""moderate"": 3, ""weak"": 1}","{""context_only"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
Palm Beach,9,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 4, ""weak"": 1}","{""context_only"": 3, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 4}"
Palmerton,2,"{""weak"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Palmview,2,"{""weak"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Palos,15,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 3, ""weak"": 7}","{""context_only"": 5, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Pampa,8,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 2, ""weak"": 2}","{""context_only"": 3, ""quantitative_compensation_claim"": 5}"
Panguitch,3,"{""moderate"": 2, ""weak"": 1}","{""context_only"": 2, ""source_navigation_claim"": 1}"
Paradise Valley,6,"{""moderate"": 1, ""strong"": 2, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 3}"
Paris,6,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 3}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Park City,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Park Rapids,13,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 3, ""weak"": 6}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 5}"
Park Ridge,7,"{""not_supported"": 1, ""strong"": 3, ""weak"": 3}","{""context_only"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Park River,2,"{""weak"": 2}","{""quantitative_compensation_claim"": 2}"
Parker,3,"{""not_supported"": 2, ""weak"": 1}","{""context_only"": 3}"
Parowan,2,"{""moderate"": 1, ""strong"": 1}","{""quantitative_compensation_claim"": 2}"
Pass Christian,6,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Patagonia,3,"{""not_supported"": 1, ""strong"": 1, ""weak"": 1}","{""context_only"": 2, ""quantitative_compensation_claim"": 1}"
Patterson,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Paulsboro,1,"{""weak"": 1}","{""documentary_mechanism_claim"": 1}"
Payette,3,"{""weak"": 3}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Payson,12,"{""moderate"": 3, ""not_supported"": 4, ""strong"": 3, ""weak"": 2}","{""context_only"": 5, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Pea Ridge,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Peculiar,12,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 2, ""weak"": 7}","{""context_only"": 5, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
Pelham,8,"{""moderate"": 2, ""not_supported"": 2, ""weak"": 4}","{""context_only"": 6, ""quantitative_compensation_claim"": 2}"
Perry,46,"{""moderate"": 8, ""not_supported"": 6, ""strong"": 12, ""weak"": 20}","{""context_only"": 15, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 17}"
Perrysburg,9,"{""not_supported"": 3, ""weak"": 6}","{""context_only"": 8, ""not_claim_ready"": 1}"
Perryville,7,"{""not_supported"": 1, ""strong"": 5, ""weak"": 1}","{""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Peru,19,"{""moderate"": 4, ""not_supported"": 4, ""strong"": 4, ""weak"": 7}","{""context_only"": 7, ""direct_text_claim"": 3, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 6}"
Peshtigo,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 2}"
Petoskey,29,"{""moderate"": 5, ""not_supported"": 3, ""strong"": 10, ""weak"": 11}","{""context_only"": 10, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 9}"
Phoenix,73,"{""moderate"": 25, ""not_supported"": 4, ""strong"": 25, ""weak"": 19}","{""context_only"": 14, ""direct_text_claim"": 13, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 39, ""source_navigation_claim"": 1}"
Pickens,5,"{""moderate"": 1, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Pierce,38,"{""moderate"": 7, ""not_supported"": 5, ""strong"": 16, ""weak"": 10}","{""context_only"": 10, ""direct_text_claim"": 8, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 15}"
Pike,27,"{""moderate"": 8, ""not_supported"": 1, ""strong"": 8, ""weak"": 10}","{""context_only"": 5, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 11, ""source_navigation_claim"": 1}"
Pilot Station,4,"{""moderate"": 1, ""not_supported"": 1, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 1, ""not_claim_ready"": 1}"
Pine City,2,"{""moderate"": 1, ""strong"": 1}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1}"
Pine Island,2,"{""strong"": 1, ""weak"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Pinetop-Lakeside,1,"{""not_supported"": 1}","{""context_only"": 1}"
Pineville,3,"{""strong"": 1, ""weak"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Pinole,46,"{""moderate"": 7, ""not_supported"": 1, ""strong"": 11, ""weak"": 27}","{""context_only"": 20, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 14}"
Pipestone,6,"{""moderate"": 2, ""strong"": 3, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 4}"
Pittsfield,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1}"
Pittsford,1,"{""strong"": 1}","{""direct_text_claim"": 1}"
Pittston,2,"{""weak"": 2}","{""context_only"": 2}"
Pittsville,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Placerville,22,"{""moderate"": 3, ""strong"": 11, ""weak"": 8}","{""context_only"": 7, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 13}"
Plainfield,1,"{""weak"": 1}","{""documentary_mechanism_claim"": 1}"
Plainview,18,"{""moderate"": 5, ""strong"": 7, ""weak"": 6}","{""context_only"": 4, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 9}"
Plainville,31,"{""moderate"": 8, ""not_supported"": 3, ""strong"": 11, ""weak"": 9}","{""context_only"": 8, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 10, ""source_navigation_claim"": 1}"
Plankinton,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
Plano,9,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 2, ""weak"": 1}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Platte City,22,"{""moderate"": 3, ""not_supported"": 4, ""strong"": 4, ""weak"": 11}","{""context_only"": 12, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 7}"
Plattsmouth,4,"{""not_supported"": 1, ""weak"": 3}","{""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Pleasant Hill,10,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 3, ""weak"": 4}","{""context_only"": 4, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 5}"
Pleasant View,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Plumstead,2,"{""not_supported"": 2}","{""not_claim_ready"": 2}"
Plymouth,26,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 8, ""weak"": 12}","{""context_only"": 8, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 13}"
Plymouth charter,11,"{""moderate"": 4, ""strong"": 3, ""weak"": 4}","{""context_only"": 1, ""direct_text_claim"": 3, ""quantitative_compensation_claim"": 7}"
Pocola,5,"{""moderate"": 2, ""strong"": 1, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1}"
Pocomoke City,2,"{""weak"": 2}","{""context_only"": 2}"
Point Hope,3,"{""not_supported"": 1, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 1}"
Poland,40,"{""moderate"": 10, ""not_supported"": 2, ""strong"": 13, ""weak"": 15}","{""context_only"": 13, ""direct_text_claim"": 10, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 13}"
